"accessions"	"TotInt_126C_MS2_tmm"	"TotInt_127N_MS2_tmm"	"TotInt_127C_MS2_tmm"	"TotInt_128N_MS2_tmm"	"TotInt_128C_MS2_tmm"	"TotInt_129N_MS2_tmm"	"TotInt_129C_MS2_tmm"	"TotInt_130N_MS2_tmm"	"TotInt_130C_MS2_tmm"	"TotInt_131N_MS2_tmm"	"TotInt_126C_MS3_tmm"	"TotInt_127N_MS3_tmm"	"TotInt_127C_MS3_tmm"	"TotInt_128N_MS3_tmm"	"TotInt_128C_MS3_tmm"	"TotInt_129N_MS3_tmm"	"TotInt_129C_MS3_tmm"	"TotInt_130N_MS3_tmm"	"TotInt_130C_MS3_tmm"	"TotInt_131N_MS3_tmm"	"sum_ms2"	"sum_ms3"	"average"	"fac_ms2"	"fac_ms3"	"TotInt_126C_MS2_tmm"	"TotInt_127N_MS2_tmm"	"TotInt_127C_MS2_tmm"	"TotInt_128N_MS2_tmm"	"TotInt_128C_MS2_tmm"	"TotInt_129N_MS2_tmm"	"TotInt_129C_MS2_tmm"	"TotInt_130N_MS2_tmm"	"TotInt_130C_MS2_tmm"	"TotInt_131N_MS2_tmm"	"TotInt_126C_MS3_tmm"	"TotInt_127N_MS3_tmm"	"TotInt_127C_MS3_tmm"	"TotInt_128N_MS3_tmm"	"TotInt_128C_MS3_tmm"	"TotInt_129N_MS3_tmm"	"TotInt_129C_MS3_tmm"	"TotInt_130N_MS3_tmm"	"TotInt_130C_MS3_tmm"	"TotInt_131N_MS3_tmm"
"sp|P0A6F3|GLPK_ECOLI"	108092102.953194	108116131.370892	102393560.958721	105370644.165283	110948442.077648	96835627.9601725	103905032.955688	104150613.182905	105884735.744276	99052364.9637394	170059586.952546	170099185.718186	159621136.255556	166261318.12445	173114134.074272	155202851.566122	164971746.774158	168230541.651151	164341624.413807	154243349.272147	1306652879.30767	1311517924.2328	1309083141.73028	1.00185991433616	0.99814353852316	135659237.637434	134489111.976986	128652620.701955	131882663.838995	138147165.287389	122145855.657431	130090206.710486	130815771.417135	133474344.074275	124418100.409857	135724942.785713	135338237.690677	127881293.620614	132720357.57239	138375964.941619	121660306.038044	130902695.264982	134285478.444172	129777331.867151	122015811.450232
"sp|P0CE47|EFTU1_ECOLI (+1)"	100668829.708274	105037127.294404	93685176.0018151	101772699.445319	105095933.821908	94597717.3555309	97648725.5744195	101737037.321718	96807165.0193684	96778571.1905291	103829759.020579	106499941.341017	100849484.666477	106715248.324055	107123804.35022	102889869.712169	103520231.002261	107482067.727804	106412231.138127	103584850.7408	1243070670.77934	835713146.935286	1019240159.20683	0.819937420426643	1.21960527119212	103400855.697989	106933349.653951	96336435.8153008	104249282.982558	107097760.609905	97655774.0980457	100057190.902658	104580585.465756	99872436.995905	99488212.9999936	101252717.138252	103536610.670525	98722603.3265437	104087624.264166	104626191.130772	98548068.9185238	100366907.128208	104830223.90546	102676039.379836	100122619.404314
"sp|P0A9B2|G3P1_ECOLI"	67780134.2258095	58348882.9678939	64748364.9281226	64877204.7610785	62859552.4665144	58512588.3426893	64945046.0749643	64111628.4026548	58437540.758357	60810583.88125	131590703.413529	118665507.598712	125919365.692318	128748282.158809	124089210.48182	112521734.001687	126598785.866157	126317149.363735	118651606.802911	124730342.009725	782173404.82926	986176001.119065	878271393.452049	1.12286020980701	0.890582809209947	95340301.8156969	81348184.8734566	91178719.4103722	91007859.0152829	87722448.7064326	82720197.9008392	91132385.9058457	90251364.1999061	82561022.1846694	85608439.8637319	93705496.0031896	84241112.1451794	90009937.099674	91699944.9537299	88500039.4043402	78698586.5684088	89629271.082631	89963808.3932746	83599984.6440898	88036564.5377326
"sp|P21177|FADB_ECOLI"	80456790.0904042	69421397.8062546	77949987.9362672	74766125.6660753	70784349.6377112	74312171.0608264	75655148.4799444	73033519.7674282	70738055.2701828	74509922.8203123	111056992.292968	96760769.2478734	107231500.744286	104803544.475655	95954461.3357374	107104665.369495	106584129.526957	102544692.138434	102086286.3753	102875170.043953	927642584.798327	826054894.132211	875376317.464731	0.943656890929647	1.05970719825386	95109790.0967695	81338675.8399313	92250591.2342697	88141424.9556806	83016636.0174015	88289819.2857538	89218234.0264375	86402761.3238238	83989436.9005523	88153578.3662876	94101671.8801361	81735454.0282257	91207781.3761471	88820902.0095493	81430329.3021459	89135454.1484268	89789270.5057891	86902101.3012604	85587739.4733609	86399875.4048612
"sp|P23847|DPPA_ECOLI"	55299239.0864546	53001080.1883775	53331626.7301031	53289236.4184003	52912926.7892908	50221696.102013	53101783.3432833	51994395.9999632	49660386.8194527	50693282.4186896	101093705.571295	100174758.247049	99396408.0813245	99809607.5202041	98442743.6082616	100191140.274773	99241145.6485945	101213717.468169	95774708.5669686	100370322.744736	654722359.598454	793262466.733837	720670988.73263	1.10072762624851	0.908489962597003	76251330.7977675	72435959.2626583	73621334.8847793	73279152.7225083	72386140.3112862	69599770.0953504	73044915.6836258	71750953.9044795	68777661.0674052	69958742.8143096	73436132.5144427	72544370.9366195	72479376.2170887	72517997.8767916	71620768.602857	71483475.7765806	71673385.460795	73534427.843573	68838157.6472303	72267348.3511847
"sp|P0A853|TNAA_ECOLI"	57153850.0959463	51106747.5332501	54969506.1405157	53638346.2444857	52949043.4621358	54668978.062283	53775153.0424479	53973731.1588525	52202397.8599496	54715786.6203337	97276427.0447788	90128866.5416515	96069766.9778056	96671550.2940374	92344571.0682495	98247748.8260666	96048363.515699	94943463.5018583	92090031.9846901	96876941.4759047	674445294.776305	757385837.254957	714713449.059705	1.05970559005346	0.943658323015503	75871578.976347	67243931.4443969	73054344.9160728	71010354.3821957	69736012.9131787	72939493.5648349	71214413.0836803	71706568.8241867	69603826.4563381	72695845.0573303	73398626.4788293	67795983.7356323	72765435.8738874	72956968.8653088	69784870.6802064	72810429.2327877	72052783.1079825	71649151.7529259	68752051.9566791	72452247.0971418
"sp|P0A6F5|CH60_ECOLI"	44264894.047414	49812958.1631367	48409451.2868074	45063347.2046104	48841377.0457417	48129362.3599953	46952361.0171794	45932491.988332	48732862.6119416	44023143.5276937	59869565.0392604	67864755.0881282	65671156.5688105	60643324.212248	65052681.8796342	66237617.4345441	63658615.5421413	63804485.9140663	66028666.6340929	59853500.4267173	588186938.438357	508816347.862053	547064100.335937	0.930085427922624	1.07517005425355	51573983.2412518	57524758.1923333	56466645.7550134	52360931.3134687	56457872.6045935	56359808.7605792	54573435.5879808	53559205.1491008	57029846.2886003	51335241.2917121	51469365.0284921	58162990.5870357	56672901.5053765	52145097.4524922	56011538.3163285	55929130.9194098	54410205.3838189	54860477.2796879	56165283.2211578	51001550.5878706
"sp|P36683|ACNB_ECOLI"	41647369.2058861	38421788.2823635	38417621.4098979	38939671.0585829	38906744.2905085	36777155.0685267	38896160.9239868	38708933.7925072	36567340.9104603	36457203.0346189	75130227.1669121	67745960.9076914	68168303.7476808	70156582.0329806	68593784.5745114	65823671.5578123	69625246.9127171	70541454.8788653	65506331.7193938	65613654.4967216	479908929.483095	547221318.664813	512461117.774567	1.06782992832939	0.936478715823683	55710629.7034348	50941214.1304525	51448361.8974	51946398.4759033	51634591.8724684	49444362.5692327	51905077.7729903	51820854.8632287	49130694.959891	48808690.1093861	56257206.2094522	50571589.1602375	51239398.3732829	52543579.7715039	51441996.0047684	48410127.0888019	51833516.7783616	52829138.8738969	48533259.253566	48697739.7498455
"sp|P09373|PFLB_ECOLI_family"	28257370.1064601	25257348.1970168	27814673.630233	26490889.5931293	26338737.1304194	25540047.0154517	27330176.593486	26743655.8070693	25706600.5050255	27408311.858913	80180129.6345989	71017113.8320311	77083064.6671516	75661677.8128318	74098804.9909706	74679798.8157243	78545490.741807	74187442.2434991	74864780.8084449	78520258.0197859	333817091.763698	604526825.658247	449223092.499012	1.34571627272161	0.743098690467325	47635820.4438691	42201791.1461755	46942526.7838725	44535991.1509528	44051654.1762345	43272477.333686	45961792.8418248	45119632.4685434	43526684.790779	46243160.4671194	47640772.794047	42066346.7198638	45975778.5333755	44965123.2018743	44095354.1503544	43581868.2840446	46399550.0968125	44086751.7778015	44013136.5665139	46242880.6067873
"sp|P0A6M8|EFG_ECOLI"	30989277.6079477	27038507.239218	29100691.3963548	28851173.8753997	28322890.7581005	28210034.2549572	29919547.3496572	29050646.2909367	27067528.1061336	28278939.7089285	72374095.9734924	63355532.9773456	68510259.3468708	67381497.5146034	64856868.3401718	67350002.6146396	70065051.7868354	69060205.4943283	64262870.5515897	65324859.2322923	358756742.675511	535743630.318707	438408074.426432	1.22202044526579	0.818316914315208	47439306.3440216	41025209.8770491	44598553.1502388	44045651.2210801	43015979.7010837	43402890.0052829	45691404.7042883	44506715.5265986	41618316.2842295	43326470.4301811	47355478.3180178	41326760.125459	44998782.4118886	44097656.5588998	42502320.0758843	43282800.553986	45579440.6715354	45193981.3635287	41604462.4518246	42365923.3634199
