"IRSNorm_N1_1_tmm"	"IRSNorm_N2_1_tmm"	"IRSNorm_N4_1_tmm"	"IRSNorm_N5_1_tmm"	"IRSNorm_N1_2_tmm"	"IRSNorm_N2_2_tmm"	"IRSNorm_N3_2_tmm"	"IRSNorm_N4_2_tmm"	"IRSNorm_N5_2_tmm"	"IRSNorm_SLE1_1_tmm"	"IRSNorm_SLE2_1_tmm"	"IRSNorm_SLE3_1_tmm"	"IRSNorm_SLE4_1_tmm"	"IRSNorm_SLE5_1_tmm"	"IRSNorm_SLE1_2_tmm"	"IRSNorm_SLE2_2_tmm"	"IRSNorm_SLE3_2_tmm"	"IRSNorm_SLE4_2_tmm"	"IRSNorm_SLE5_2_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_N"	"ave_SLE"	"direction"	"candidate"	"Acc"
5797252579.51293	1981858887.49232	2333655097.49342	3484855934.2878	2631922343.96898	3098104536.14032	2342631956.47478	3491782386.03708	4189540084.74538	4160714990.54571	2332394558.1773	3655884975.24524	4292798252.64517	2842128425.20828	2564332811.56527	2606511926.5834	3431008876.4783	2844966478.18638	7068827609.5598	0.134499785229564	1.09771214638095	0.546103204878781	0.799386922233859	3261289311.79478	3579956890.41948	"up"	"no"	"sp|P01023|A2MG_HUMAN"
2054106381.60191	2720357374.90225	1994149885.61331	2210896092.82901	2712248589.54562	2497834863.1569	3534859378.17695	2463509606.82756	2647123636.86582	2220684997.48702	2966274475.66358	1694094156.30752	2690285940.85006	2179479929.8139	2508753072.43744	1720539131.48475	2530767827.19577	2194329392.85591	1253075341.78047	-0.208489972198955	-1.15547814478209	0.177082536713121	0.516617742914827	2537231756.61326	2195828426.58764	"down"	"no"	"sp|P01024|CO3_HUMAN"
422349512.67628	561410961.682197	389325595.514909	438896132.939423	531283531.361903	468477681.205993	666477880.280731	338411386.735336	508206781.819362	335895592.713946	373572013.539446	465012152.486597	409158698.618577	344392242.218676	312263844.238046	326894640.812295	429549914.47985	383097100.362253	324978818.336331	-0.375248164448141	-1.2970626493811	0.00461808480137136	0.0743670897324284	480537718.246237	370481501.780602	"down"	"low"	"sp|P00751|CFAB_HUMAN"
301252193.433576	529394978.782634	396112739.412785	464959266.864073	533920132.326029	448011058.842315	574336094.545985	346364917.788702	382746442.940072	344776057.186649	325870260.110905	392942544.145688	392746945.559645	480354263.046641	318248565.182458	357728712.239039	401772862.778048	362554472.797754	348550067.560419	-0.246267750113685	-1.18613461361379	0.0635355491363387	0.333383162322137	441899758.326241	372554475.060725	"down"	"no"	"sp|P01042|KNG1_HUMAN"
441066665.955353	387134840.12412	393817166.947964	357694310.529533	466263870.636845	270676039.355242	486428145.398322	373626699.292816	529115907.817875	454917599.944149	303847449.05677	408397058.271494	333038704.748004	354965878.037435	356621270.191859	323599652.929522	399805949.726133	468041182.300178	316912293.501299	-0.146437674685922	-1.10683308646443	0.274220423888176	0.643522301285318	411758182.895341	372014703.870684	"down"	"no"	"sp|P00450|CERU_HUMAN"
285693765.782601	357687128.108988	384082007.186881	251123329.521334	344933784.995003	363279004.12866	328392798.776585	648958997.695845	274519103.315147	386847948.272246	385418351.006778	225627593.700348	293788167.981586	453134958.219279	299619668.903415	208429177.468668	315724828.011739	127391640.735779	468454627.030103	-0.185455704856558	-1.13717611592985	0.395576990134236	0.744044702919974	359852213.279005	316443696.132994	"down"	"no"	"sp|P04114|APOB_HUMAN"
329047724.73226	306314498.608913	288482321.890962	321428997.73327	305794670.442004	297611138.636635	351059994.850473	243983926.260969	402382731.572318	284605220.983078	329145242.637817	416474855.202556	305163771.601212	289775739.416322	366317066.902245	288923011.325386	312346643.876059	366796305.314282	351158310.623813	0.0661464851734642	1.046916575189	0.571215607352848	0.800428925567765	316234000.525312	331070616.788277	"up"	"no"	"sp|P01011|AACT_HUMAN"
219465533.511602	150126445.297348	266656280.629166	168756647.270187	307141987.1159	200730737.004831	268305139.473636	190909063.181178	158625704.136674	164034231.387038	249233415.548562	225625152.632424	179958920.108514	203027640.361315	205609241.060664	228371575.173508	191342479.959451	221287764.853947	183006785.208864	-0.0644630178353392	-1.04569565188065	0.656376239260074	0.843565385925328	214524170.846725	205149720.629429	"down"	"no"	"sp|P02790|HEMO_HUMAN"
425327505.098787	167135172.967304	232584263.633046	90087901.450618	88275611.7575365	262002272.524277	51753286.7935882	136379078.913194	538062394.729987	198876330.793416	246117947.410634	64514215.8412655	175910802.184763	116157636.178733	308624277.007243	251587865.570368	142022100.24006	90688546.1032338	159197278.770512	-0.335536933208864	-1.26184694882647	0.363618798648775	0.72259565518714	221289720.87426	175369700.010023	"down"	"no"	"sp|P02647|APOA1_HUMAN"
186261842.783938	240333263.484201	161616652.995534	218437634.476084	246563892.176326	178363137.606119	238685564.551369	162220112.932993	226921762.502178	184246962.685232	176624320.312952	199562976.078929	174869694.947753	203591226.044004	171770053.588379	146436293.703638	211265736.318047	170092631.489711	210120347.580609	-0.160425583768225	-1.11761677692437	0.1848392276439	0.516617742914827	206600429.278749	184858024.274925	"down"	"no"	"sp|Q14624|ITIH4_HUMAN"
189340653.238054	180943929.022846	148356398.247391	176729931.235902	140834636.49058	184201234.732577	112610453.191414	177391445.799152	224037617.576599	180114520.107309	168124963.342859	157243453.140977	163783133.763779	209363625.54458	185414310.810869	187909075.558648	190242827.06698	208570913.311548	172349804.115259	0.0966856071528156	1.06931403502637	0.439613963575114	0.768556208579819	170494033.281613	182311662.676281	"up"	"no"	"sp|P01008|ANT3_HUMAN"
158353031.108509	155579204.932167	89604479.1404789	135815788.101406	142723691.755756	116762811.693464	135077732.114163	113074439.730602	143968601.479885	74562430.6180295	133162847.01597	95726371.8226122	116705049.16774	142361770.482468	124653604.573348	110286515.639933	125780938.311089	116330101.327908	120830158.667402	-0.189505847434578	-1.14037304954512	0.162795897952671	0.503481353270844	132328864.450715	116039978.76265	"down"	"no"	"sp|P19827|ITIH1_HUMAN"
84571307.0309734	69877061.1277997	165286328.353419	120540278.343462	233414651.707985	131875314.637424	87619535.0004143	84701771.9510347	134588681.923626	79034250.6892902	130714036.470543	76393904.7972824	122727292.244158	194212944.087063	89940788.3859829	173975534.988661	72680044.6893645	94987171.1309437	99505149.5065993	-0.124137596039353	-1.08985605181054	0.597766649879199	0.813868878990046	123608325.564015	113417111.698989	"down"	"no"	"sp|P02774|VTDB_HUMAN"
123094585.7536	151448402.446297	130028192.903906	126492227.671738	210808438.276204	128838847.598035	158869764.270393	106612406.717942	145538445.859111	113431829.521819	128372013.072796	121220496.960535	123097325.823876	153912010.413934	120635276.661161	112324179.150885	137043333.593757	117016833.301078	112502660.33745	-0.200273552978956	-1.14891618366261	0.113050944627914	0.422247526775696	142414590.166359	123955595.883729	"down"	"no"	"sp|P00747|PLMN_HUMAN"
121697267.281762	134946142.479568	140266306.591045	146475794.121789	159569938.155574	141851330.092219	128775961.121049	128853943.898074	122329050.686556	138814568.433226	124788070.222113	129572432.899004	115907194.124061	134336352.146102	129829482.454034	120019773.810272	167573895.965492	120815860.092193	119477718.070518	-0.0647378772647932	-1.04589489317581	0.535701244792081	0.799386922233859	136085081.603071	130113534.821702	"down"	"no"	"sp|P02749|APOH_HUMAN"
153289012.956437	143295175.21907	88789222.3078243	121571372.402028	117741221.795709	111651278.20634	89095833.5892836	119984283.797161	136285413.571555	100386287.665173	129252800.257856	100608449.881747	114831211.477384	143824131.875011	119713297.438112	152100657.476225	125920169.790858	129395767.405137	132352440.376366	0.0547558958932249	1.03868334065372	0.673642385435311	0.845978617221345	120189201.538379	124838521.364387	"up"	"no"	"sp|P19823|ITIH2_HUMAN"
113606968.83971	92336921.8174808	132233360.733727	100730236.295228	154179318.109199	138507686.743846	140694618.813342	118921004.802039	114656740.464072	133074754.552704	87445379.6072806	108373565.358671	135709908.915481	148970851.734661	100935006.429341	132994834.217587	113278595.139447	110272334.720099	91960974.8223978	-0.0793095922047064	-1.05651232200389	0.551289472056768	0.799386922233859	122874095.179849	116301620.549767	"down"	"no"	"sp|P02765|FETUA_HUMAN"
162680514.752193	80241798.7878946	73987840.2860114	52264818.699782	117708259.301161	165574999.608471	32569214.6442894	111187279.617509	125257505.447969	104804664.538264	158329594.819247	34689597.3428681	143390735.924655	147408928.446793	189720031.850557	89705651.2928406	113881983.253656	56326460.4368421	121926676.464819	0.180338343255238	1.13314960195351	0.550470614723097	0.799386922233859	102385803.460587	116018432.437054	"up"	"no"	"sp|P02766|TTHY_HUMAN"
70729542.0095914	89999958.0178677	117122482.834948	96336211.6315704	137174654.25265	114067603.431955	168030456.2875	92866866.8960673	90504444.9339599	80825278.9181078	113338347.849702	116451476.112731	115068055.906544	114600661.962159	82393222.2542595	100901427.326395	82147081.8337659	90270609.2021091	96643878.2877919	-0.128843233774913	-1.09341663675096	0.396475842532715	0.744044702919974	108536913.366234	99264003.9653566	"down"	"no"	"sp|P08603|CFAH_HUMAN"
82418095.5502986	141636909.110802	97532108.9577852	57429174.3398627	83565740.6996965	98037802.5928913	93308069.0026266	93317016.6641956	93540572.6827207	69593259.4549604	90046723.7400002	74271446.2343688	96719667.8949493	72330034.1485749	94233671.1056595	84125641.549255	95664269.7150232	65563463.9764881	87216394.1757762	-0.171038807179673	-1.12586886821446	0.228927432371327	0.57188697637207	93420609.9556533	82976457.1995056	"down"	"no"	"sp|P04004|VTNC_HUMAN"
53873709.8927301	73687056.7682468	66235090.9697492	48395950.6092313	110252173.401302	81468170.452426	105116131.406303	57152530.8579315	46519848.452201	62418012.7951008	85081419.3149603	96531169.821631	45476893.2306257	66710603.3471343	56534529.5807781	81014637.961133	47116862.9770309	82201842.4576485	45632858.9014385	-0.0947503075363322	-1.06788057269603	0.63010779785819	0.82936551369279	71411184.7566801	66871883.0387481	"down"	"no"	"sp|P19652|A1AG2_HUMAN"
26265751.6879584	46676552.1331908	54980449.9787929	89330572.7366405	77445787.7509213	70742229.0719343	85358447.8360002	52308314.4456177	67613614.6587331	68889825.1229738	122442112.358263	72270906.804015	136902411.777338	98780293.0179542	86465914.9513128	158813901.599999	94932426.2664322	92736661.3006544	24682962.4830198	0.593603859376835	1.5090115611184	0.023895176834958	0.185984126365423	63413524.4777544	95691741.5681962	"up"	"no"	"sp|P02751|FINC_HUMAN"
63006674.8210577	69006310.1836355	62510977.7063184	96920661.9679788	78953881.1841623	61885810.5708969	55541810.7900242	81522849.9235031	91042563.1250557	81913388.2670148	68840771.7027444	67910138.9513643	71105169.8371747	87969206.957323	69371320.1078059	87379012.6393905	57487453.3188499	96240848.0579549	66054642.331341	0.0397600523682918	1.02794284232293	0.772060427805863	0.897961073365934	73376837.8080703	75427195.2170963	"up"	"no"	"sp|P06396|GELS_HUMAN"
76211939.4120928	108228683.109773	69941641.62756	66734252.8406416	88887564.509052	67848779.1367395	97585273.9273273	71251247.0076593	79569087.8253591	67598022.5665085	75631362.6031646	54582927.0698802	67606145.0048846	52249372.1772047	59792186.8398626	49709554.2069166	84477134.1394837	58031591.3387173	69392955.1284595	-0.336509392346418	-1.26269778765226	0.012151536935904	0.135763091955227	80695385.4884671	63907125.1075082	"down"	"no"	"sp|P05546|HEP2_HUMAN"
71598311.3911453	42178119.1399989	65170269.7286022	66216358.9998553	84877309.0319635	41302770.8566652	89717186.7604681	68234333.3161601	96687993.1633668	73057276.5592749	62966683.6330301	99548627.4508847	79021848.6018226	76175573.3149822	76412357.31352	75225881.1835649	71095188.3766181	74795830.532957	59220989.6671088	0.103986911269661	1.07473941714466	0.516800275630403	0.799386922233859	69553628.0431361	74752025.6633763	"up"	"no"	"sp|P13671|CO6_HUMAN"
66692641.0210561	114942224.106589	67927176.2966646	79938558.2855288	83406516.5824949	89775160.945305	129305443.34329	86425601.2570944	75500691.4089529	82113729.6635913	61453802.3941703	68301272.7164298	83629902.1262821	84911639.5427892	66669759.6616644	74558942.655914	79422633.5157755	76738579.8369472	42736943.4147791	-0.291912924681573	-1.22426250111359	0.0560189287402414	0.31903463075235	88212668.1385529	72053720.5528343	"down"	"no"	"sp|P02743|SAMP_HUMAN"
68241566.238142	57910301.1657662	49324588.4574615	61475291.9148136	90563913.2756813	64254321.6569849	31753837.9573331	59211255.1042902	44270211.084781	54649285.1592075	83354431.0293684	22011360.2197422	73446739.3143729	70770889.1349063	66138327.0522517	53841642.6365918	83719716.086386	27412972.186702	81884372.3416087	0.0759870329965851	1.054081952308	0.7500043887199	0.882657360362698	58556142.9839171	61722973.5161138	"up"	"no"	"sp|P02753|RET4_HUMAN"
50272487.8447639	58659743.1486179	36979254.4323184	50366449.2828924	42472792.8535045	48735478.3220438	39039262.9111871	54949675.2088293	61565981.5560328	61136197.5379332	47136748.7424552	40859765.9698915	46854167.0720514	51094580.2146353	57013021.4488867	51162335.3018369	45572068.3851538	53479770.9214821	43581246.7866562	0.0163830486560499	1.01142057992087	0.897127327967606	0.963951136425346	49226791.72891	49788990.2380982	"up"	"no"	"sp|P01031|CO5_HUMAN"
50431196.8168587	47087949.7101801	52227276.4301678	43452324.4771311	53776627.3685098	42828861.4803821	51066423.5767439	44433521.2044675	37751142.4568226	44188144.6985838	52511446.0007124	47259207.4099022	47242996.3879859	64083228.1216692	47016856.5787478	57293321.3216548	63553947.6203296	50338354.7303897	62200949.1830232	0.188544756516006	1.13961361562554	0.106720062289293	0.420183035032147	47006147.0579182	53568845.2052999	"up"	"no"	"sp|P25311|ZA2G_HUMAN"
