ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Missing	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT1	Total_TMT2	Unique_TMT1	Unique_TMT2	Corrected_TMT1	Corrected_TMT2	PSMs_Used_TMT1	TotInt_126C_TMT1	TotInt_127N_TMT1	TotInt_127C_TMT1	TotInt_128N_TMT1	TotInt_128C_TMT1	TotInt_129N_TMT1	TotInt_129C_TMT1	TotInt_130N_TMT1	TotInt_130C_TMT1	TotInt_131N_TMT1	TotInt_131C_TMT1	PSMs_Used_TMT2	TotInt_126C_TMT2	TotInt_127N_TMT2	TotInt_127C_TMT2	TotInt_128N_TMT2	TotInt_128C_TMT2	TotInt_129N_TMT2	TotInt_129C_TMT2	TotInt_130N_TMT2	TotInt_130C_TMT2	TotInt_131N_TMT2	TotInt_131C_TMT2	Average_all	Average_TMT1	Average_TMT2	SLNorm_N1_1	SLNorm_N2_1	SLNorm_unused_1	SLNorm_N4_1	SLNorm_N5_1	SLNorm_SLE1_1	SLNorm_SLE2_1	SLNorm_SLE3_1	SLNorm_SLE4_1	SLNorm_SLE5_1	SLNorm_pool_1	AvePool_1	SLNorm_N1_2	SLNorm_N2_2	SLNorm_N3_2	SLNorm_N4_2	SLNorm_N5_2	SLNorm_SLE1_2	SLNorm_SLE2_2	SLNorm_SLE3_2	SLNorm_SLE4_2	SLNorm_SLE5_2	SLNorm_pool_2	AvePool_2	GeoMeanPools	IRS_Fac_AvePool_1	IRS_Fac_AvePool_2	IRSNorm_N1_1	IRSNorm_N2_1	IRSNorm_unused_1	IRSNorm_N4_1	IRSNorm_N5_1	IRSNorm_SLE1_1	IRSNorm_SLE2_1	IRSNorm_SLE3_1	IRSNorm_SLE4_1	IRSNorm_SLE5_1	IRSNorm_pool_1	IRSNorm_N1_2	IRSNorm_N2_2	IRSNorm_N3_2	IRSNorm_N4_2	IRSNorm_N5_2	IRSNorm_SLE1_2	IRSNorm_SLE2_2	IRSNorm_SLE3_2	IRSNorm_SLE4_2	IRSNorm_SLE5_2	IRSNorm_pool_2
113	1	sp|P01023|A2MG_HUMAN	 	 	"sp|P01023|A2MG_HUMAN, sp|P20742|PZP_HUMAN"	 	 	81.3	1474	163289	Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	4950	4564	0.922	2431	2519	2230	2334	2424.713	2513.166	2230	8738333115.0	2052700025.0	848263718.1	3180296580.0	1786005562.0	4997383923.0	3521815242.0	5000784884.0	5499105954.0	3797928128.0	4286039268.0	2334	1447574265.0	1887051534.0	1449114485.0	2505107097.0	2580218957.0	1870996230.0	2154269987.0	2273740874.0	1250014771.0	6044032857.0	2346212106.0	3159863161.913636	3973514218.1	2346212105.7272725	4367122572.889225	1815253093.5508509	602688197.2556107	2326738148.4295397	3159000701.080555	3609867514.9899926	2071465962.094746	3453729572.5157304	3440826715.239016	2579085058.980138	3045214860.283017	3045214860.283017	2946648207.9607434	3562098847.2716017	2583022238.559007	3949242962.3923907	4067489079.111779	3199987632.540037	3515855116.7169414	3866031895.214996	3677404090.6235566	6367845532.16442	3959630777.017908	3959630777.017908	3472452517.084852	1.1402980336048039	0.8769637152128711	4979821282.376735	2069929533.0710723	687244166.207397	2653174935.3674865	3602202287.5983534	4116324828.9169483	2362088563.2559223	3938281040.142447	3923567937.3619266	2940925621.254581	3472452517.084852	2584103559.8786025	3123831439.0587893	2265216778.804174	3463342780.5779157	3567040334.405646	2806273042.867551	3083277365.3062716	3390369693.9592	3224949953.652244	5584369475.788592	3472452517.084852
114	1	sp|P01024|CO3_HUMAN	 	 	 	 	 	85.3	1663	187146	Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2	5809	5809	1	3149	2660	3149	2660	3149	2660	3149	3931801549.0	3578005501.0	349963903.1	3451048270.0	1438893312.0	3387068578.0	5687719465.0	2942696536.0	4376352893.0	3698436797.0	3610224767.0	2660	1174721699.0	1198089142.0	1721902245.0	1391781643.0	1283814138.0	1441431992.0	1119805730.0	1320715116.0	759237286.4	843712195.1	1225521119.0	2269679267.1181817	3313837415.554545	1225521118.6818182	1964981086.2994	3164118222.501708	248648043.48382074	2524822908.7743654	2545045255.233154	2446653893.148475	3345410381.8917027	2032336580.171682	2738312750.3834877	2511522799.6028724	2565051186.420953	2565051186.420953	2391235926.8219995	2261576790.433759	3069261840.5920362	2194111327.7699795	2023820486.9232354	2465298686.1162996	1827567913.6356318	2245606269.973125	2233591448.3056045	888914580.5648241	2068274700.4280553	2068274700.4280553	2303308592.9109507	0.8979581402134845	1.1136376577222804	1764470761.8080819	2841245714.4932303	223275534.6944533	2267185283.5314293	2285344104.148316	2196992779.6376863	3004038484.7743564	1824953175.8187966	2458890224.6572285	2255242342.2351594	2303308592.9109507	2662970376.607418	2518577079.6577244	3418045567.0932903	2443444999.8396826	2253802706.7075567	2745449454.392371	2035248450.6695797	2500791706.659338	2487411548.799569	989928751.4153941	2303308592.9109507
106	1	sp|P00751|CFAB_HUMAN	 	 	 	 	 	60.2	764	85532	Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2	1189	1189	1	605	584	605	584	605	584	605	798404285.1	729252849.7	71626844.49	665408580.2	282100736.7	505968571.2	707429832.6	797727273.8	657336707.8	577166201.9	635643893.2	584	232996634.9	227526565.2	328730414.0	193588523.4	249566437.8	181666871.5	215428782.7	226980357.9	134215405.7	221559304.7	221225929.8	402797772.92227274	584369616.0627272	221225929.78181824	399015387.7020852	644896222.1836085	50890604.96124745	486819857.48752934	498966209.27244407	365487130.2512055	416097017.6189851	550940370.4087449	411299895.66036695	391940204.6853593	451622607.35050064	451622607.35050064	474282482.9708952	429491246.5398451	585956443.4984647	305187795.9840312	393419619.4901955	310707062.21692395	351588423.23132503	385933732.9345626	394846759.7315138	233429476.96079183	373356269.90856695	373356269.90856695	410628946.9664362	0.9092302738683549	1.0998313944667306	362796870.2380547	586359168.7126698	46271278.68624128	442631352.3479398	453675183.10783917	332311963.5336627	378328005.28551555	500931663.871876	373966316.77330124	356363899.6460883	410628946.9664362	521630764.61702305	472367956.59317225	644453292.3496825	335655119.2313451	432695248.7144723	341725381.5087007	386687985.80086726	424462035.6651708	434264862.35618097	256733067.15542725	410628946.96643627
119	1	sp|P01042|KNG1_HUMAN	 	 	 	 	 	50.3	644	71957	Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2	867	867	1	471	396	471	396	471	396	471	548658470.4	662518597.0	51816637.87	652251759.0	287924341.8	500353962.2	594531367.8	649441742.8	607896890.4	775586408.3	586573726.6	396	243040462.4	225845234.3	294035148.4	205658909.2	195090390.6	192176146.5	244697040.6	220360744.1	131839565.2	246648853.3	219939249.5	378949347.6486364	537959445.8336364	219939249.46363637	274200898.4273787	585881481.9955095	36815527.29340659	477194189.87193024	509266721.759715	361431409.3078557	349692248.78927714	448528821.92772895	380365077.1772425	526682772.8643628	416758437.6163274	416758437.6163274	494727462.5615912	426317476.90352947	524112715.1076665	324216477.9238561	307542904.8578808	328681203.2054187	399355395.29892874	374678431.86774224	387857301.8658442	259863213.13274133	371184778.7194141	371184778.7194141	393312075.13381183	0.9437411210757524	1.0596126179816339	258774663.2818329	552920446.6359653	34744327.0008745	450347779.72057086	480615946.9200867	341097683.4121849	330018954.9038933	423295093.2408614	358966164.35331595	497052190.5142996	393312075.13381183	524219461.79229844	451731377.7930736	555356446.1726967	343543870.96568173	325876342.55813557	348274750.2098471	423162015.91778815	397013994.0926316	410978491.03336	275354339.5847033	393312075.13381183
92	1	sp|P00450|CERU_HUMAN	 	 	 	 	 	68.3	1065	122204	Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1	1551	1551	1	833	718	833	718	833	718	833	676712870.9	408139701.3	63736290.66	546285183.8	186596647.4	556162000.9	466996870.0	568619934.7	434250316.6	482818027.1	480731283.6	718	251944986.8	161973393.1	295612983.2	263343864.7	320145354.6	255630070.4	262757206.3	260300231.4	202035754.2	266210196.9	253995404.2	348409026.0345455	442822647.9054546	253995404.16363636	338198145.4562644	360927971.1416894	45284395.993825324	399667938.2239573	330043171.47579026	401744426.8951647	274678838.6492494	392710250.40063566	271713275.3864158	327870543.6049466	341557777.95866185	341557777.95866185	512853303.4945279	305749592.1307362	526925179.1464704	415155466.04820025	504681096.9398936	437207221.83675325	428830310.87045634	442587371.5125218	594366663.6458453	280472567.41547453	428660314.6916947	428660314.6916947	382638556.06192636	1.1202747551198686	0.892638163477138	378874844.58301026	404338494.4866671	50730965.63273382	447737901.62310654	369739033.1040257	450064139.4607526	307715768.70439774	439943379.6006344	304393523.0463344	367305092.9480498	382638556.06192636	457792430.96453863	272923754.4034643	470353524.20316726	370583612.7707608	450497607.51405406	390267851.5593011	382790301.1387343	395070378.48511124	530554367.0688611	250360517.48346695	382638556.06192636
177	1	sp|P04114|APOB_HUMAN	 	 	 	 	 	69.8	4563	515598	Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2	3378	3378	1	1614	1764	1614	1764	1614	1764	1614	463326589.8	398598956.8	41451517.78	563164151.6	138473007.9	499913808.1	626148039.6	332061059.1	404916987.4	651494417.8	453121890.9	1764	176328872.1	205659087.4	188804426.6	432729296.5	157138533.7	203183649.1	160110141.8	194467833.4	52023412.38	372277571.4	214272282.4	314984796.98	415697311.5254545	214272282.4345455	231554918.1184273	352490856.2405956	29451148.258815404	412016767.1141151	244924393.48676187	361113463.3562015	368288584.7603908	229333819.84974095	253359218.63563713	442414775.19527805	321941407.7678534	321941407.7678534	358930914.6672375	388213032.32011765	336540720.34631675	682187652.1248126	247715128.20583788	347507468.9243787	261306180.13655922	330652826.41251236	153047079.0688026	392222564.9417099	361620810.78824365	361620810.78824365	341204796.13176554	1.0598350752625232	0.9435430316856592	245410024.0714508	373582173.1531029	31213359.931449354	436669821.3838097	259579463.0046701	382720714.61443025	390325159.94785696	243056026.22069213	268518986.55115455	468886696.5663398	341204796.13176554	338666763.39083195	366295701.45520663	317540651.5612393	643673405.4643675	233729883.061738	327888250.7623183	246553625.40424806	311985170.2686939	144406504.9752128	370078868.0206263	341204796.13176554
111	1	sp|P01011|AACT_HUMAN	 	 	 	 	 	59.3	423	47650	Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2	1178	1178	1	591	587	591	587	591	587	591	602981485.5	385708334.9	53441311.63	477957046.1	200272695.7	415581610.5	604214081.9	692585104.9	475251278.7	470764578.1	480590690.7	587	138343571.5	149107044.9	178624598.3	143979821.9	203840668.5	219845188.4	196419153.9	170261815.5	132563582.6	246969695.3	177995514.1	309877221.5240909	441758928.96636367	177995514.08181816	301349699.27400476	341091362.4047783	37969851.91987549	349678360.0199847	354232707.660287	300195978.27308536	355387440.4164945	478325245.68898034	297367846.67933005	319685325.46037644	341457887.2293522	341457887.2293522	281608928.05272686	281462388.9112956	318395347.3231409	226980834.09129587	321336951.17355675	376003902.45224303	320563945.75789416	289495437.5791421	389987280.3350687	260201244.4347824	300397612.81561005	300397612.81561005	320270407.9379785	0.9379499490748552	1.0661549701946758	282650935.0877757	319926625.9974348	35613820.674627006	327980799.9733235	332252550.1106143	281568802.53371674	333335631.6404941	448645139.83519673	278916156.649377	299848834.7355386	320270407.9379785	300238758.2946096	300082524.8606446	339458782.03542674	241996744.40536818	342594987.60089135	400878429.4120529	341770844.0349953	308646999.6236849	415786877.2419378	277414850.00498295	320270407.9379785
165	1	sp|P02790|HEMO_HUMAN	 	 	 	 	 	69.7	462	51676	Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2	1373	1373	1	756	617	756	617	756	617	756	523732297.8	246176514.5	48537813.54	575333188.6	136929027.8	311921918.7	595809572.3	488618404.2	364973763.0	429531351.8	408114004.3	617	106701448.3	77226244.24	104831299.2	86510538.63	61705960.48	94755514.74	119219090.4	80092872.16	61412776.95	98834816.5	89129056.16	232277157.9227273	375425259.68545455	89129056.16	261743642.61158314	217699943.51984814	34485934.87727478	420919761.50640243	242193475.77736092	225317249.76065633	350444064.8081216	337458193.3448718	228366480.7691598	291684796.14549494	289963472.77142286	289963472.77142286	217198964.51738238	145776366.2677053	186860030.68324384	136381848.21177828	97274039.35529764	162061510.55845	194570342.40025347	136181568.39711064	180669542.80213228	104129950.90569463	150420395.92037362	150420395.92037362	208845446.14792037	0.7202474303118602	1.3884117567306136	188520185.99145868	156797824.89920774	24838405.97725932	303166376.5924674	174439228.56694198	162284170.14504832	252406437.1460926	243053396.59432682	164480370.9433502	210085224.88483152	208845446.14792037	301561595.8856491	202397620.77955008	259438663.46365893	189354161.46188298	135056419.86557165	225008106.57287446	270143750.8996129	189076090.6125626	250843717.30962527	144575248.06524804	208845446.14792034
137	1	sp|P02647|APOA1_HUMAN	 	 	 	 	 	81.3	267	30777	Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1	621	621	1	323	298	323	298	323	298	323	643041356.3	173631963.5	60251121.42	317921824.5	46309864.56	239589018.7	372749351.0	88513626.61	226023283.8	155689696.3	251496665.0	298	48406028.95	159104949.1	31917400.16	97547876.13	330380031.0	224501654.7	207310377.7	93835245.77	39726597.35	135708173.0	136843833.4	185477269.9522727	234110706.51727274	136843833.38727272	321370264.26452875	153547013.71072638	42808196.29134237	232594922.7296503	81910660.1483168	173067474.67868298	219244207.86790588	61130829.83666535	141424253.26418614	105725268.1018837	178687439.30733854	178687439.30733854	98534176.73186761	300334964.6646782	56892229.88497477	153781953.5795787	520815167.4118217	383967913.4600789	338338860.3023167	159547667.54224166	116871220.23732066	142978819.53361562	230947173.52709424	230947173.52709424	203143690.6547285	1.1368660911040633	0.8796110710179188	365354956.13149464	174562393.27801552	48667186.78495386	264429280.6143092	93121452.0225703	196754543.4352058	249251305.5959929	69497567.56235738	160780437.99576637	120195472.27791762	203143690.65472853	86671752.72698696	264177959.9328264	50043035.26172031	135268308.8913611	458114787.20948917	337742427.59513557	297606607.27750283	140339894.72524202	102801219.2041207	125765752.58284137	203143690.6547285
498	1	sp|Q14624|ITIH4_HUMAN	 	 	 	 	 	64	930	103356	Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4	1051	1051	1	546	505	546	505	546	505	546	317933493.8	281885447.7	32117681.2	249415290.2	126774368.6	250600018.2	302009821.1	309123224.7	253671790.7	308083269.6	266610747.2	505	119754335.8	95937143.47	130382341.2	102772711.2	123412840.0	110672561.3	106876723.1	123635213.1	65995979.4	158650528.6	113809037.7	179551116.72136363	245293195.72727272	113809037.71545453	158892379.03601214	249278230.9798976	22819492.298710424	182474827.71244067	224232403.194747	181021286.1158398	177636537.3078744	213492091.23425573	158724105.6354231	209212215.38900846	189425938.14905727	189425938.14905727	243769116.03951392	181096054.88125333	232404334.0405836	162018784.31410858	194549527.4966191	189284629.08849856	174427103.39772964	210216424.69550067	194152813.4232487	167150325.5563843	192072049.7636506	192072049.7636506	190744405.47154176	1.0069603314908595	0.9930877798527036	159998322.6654741	251013290.1009727	22978323.529562566	183744913.00205675	225793135.0519745	182281254.27410778	178872946.49242565	214978066.95992297	159828878.02623585	210668401.76005307	190744405.47154176	242084130.24433696	179844279.08210725	230797904.12050927	160898874.80893213	193204758.33301	187976252.0617395	173221424.8593893	208763362.4894278	192810786.43465024	165994945.7084463	190744405.47154176
