New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Wed Apr 17 21:55:20 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_MS2	Total_MS3	Unique_MS2	Unique_MS3	Corrected_MS2	Corrected_MS3	PSMs_Used_MS2	TotInt_126C_MS2	TotInt_127N_MS2	TotInt_127C_MS2	TotInt_128N_MS2	TotInt_128C_MS2	TotInt_129N_MS2	TotInt_129C_MS2	TotInt_130N_MS2	TotInt_130C_MS2	TotInt_131N_MS2	TotInt_131C_MS2	PSMs_Used_MS3	TotInt_126C_MS3	TotInt_127N_MS3	TotInt_127C_MS3	TotInt_128N_MS3	TotInt_128C_MS3	TotInt_129N_MS3	TotInt_129C_MS3	TotInt_130N_MS3	TotInt_130C_MS3	TotInt_131N_MS3	TotInt_131C_MS3
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	43	25	0.581	27	16	16	9	18.173	9.840	16	604249.389161	300359.322996	380537.81225600006	467395.6176760001	569831.898315	408496.81518599996	663438.61084	579304.6447749999	608144.9938969999	463994.75146499986	444.443054	9	422308.99707000004	293425.612306	346696.65527399996	385520.9685059999	473102.119628	399581.132325	499955.5625	454145.812013	443936.445802	428799.419434	982.167358
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	45.5	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	154	131	0.851	78	76	65	66	75.767	75.072	65	17517792.708862	13132834.607175007	13797183.249509005	18689720.178217996	19309359.728757996	19399288.438722994	18932594.673343003	19613418.830991004	22314399.239501003	21408648.48547298	43957.745239	66	10786670.258789996	8513343.281614	9228696.993164	11139263.453610996	12352590.547362	11999143.908449998	12443993.882324997	12292961.320315	12008952.771971002	11951318.51831	54671.109191999996
3	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	 	 	CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	15.7	229	23993	TRYPSINOGEN [Bos taurus].	9	4	0.444	4	5	2	2	2.060	2.088	2	11628.663819000001	10999.476562	12063.434325999999	12872.418946	14108.605469	14850.798827999999	14465.165039	13383.789062999998	13522.047851	14083.095702999999	228.48168900000002	2	4045.300171	3915.8232420000004	3955.915527	4237.871215	4655.712891	5435.260985999999	4768.29126	4636.379639000001	4815.583496	4966.91626	150.0
4	1	CONT_015|gi|229552|prf||754920A	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	73.8	581	65797	albumin [Bos primigenius taurus].	664	73	0.110	369	295	37	36	127.879	107.598	37	1805693.7066360002	738878.8998120002	8976702.532530999	25725144.798585	4413083.985228	7554954.521515	21211520.870240998	1707624.7658110005	24221657.111084003	22968816.118162997	351211.12777900003	37	2054664.1649479996	166723.569779	11337992.248842	35138367.200196005	5632436.316039999	10594086.993346	27125278.414919	1834908.9921880001	32117731.478519	30366258.261963997	482629.591691
7	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	7.9	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	46	6	0.130	25	21	5	1	5.443	1.443	5	27528.677246000003	24237.493164	52854.226564	129666.480469	43665.995117000006	51921.349609	114756.958984	31464.233397999997	109570.894531	115736.43750100001	2861.80185	1	31363.5	39033.269531	27363.265625	32804.019531	23260.929688	32450.617188	40979.277344	38363.90625	42092.546875	33927.402344	150.0
8	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	24.3	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	10	10	1.000	5	5	5	5	5.000	5.000	5	69971.029663	43478.06482	36114.950806	392153.081788	309789.687257	69536.679199	375817.40332	70673.631593	57455.26025399999	79533.634521	463.985138	5	119378.691163	61108.81961	50827.906554999994	697643.152343	571004.270996	103260.165832	675870.655762	116101.911621	80077.98437500001	134050.183594	274.12374900000003
9	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	23.0	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	8	8	1.000	5	3	5	3	5.000	3.000	5	114377.89184600001	44318.019531	45098.964111	698054.831543	377433.052247	86782.454346	525476.865479	116703.291747	63440.462158	116734.15332099999	389.574158	3	46327.26416	17150.970458	15819.972656999998	285848.609375	170247.22363300002	36964.305176	236106.722656	49402.882325	31369.659424	48750.083984	324.479156
10	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	7	7	1.000	4	3	4	3	4.000	3.000	4	46564.344971000006	51636.066651	47290.173218	158080.42089900002	157816.34033200002	87712.39990299998	142503.676271	85261.45898400001	42435.445191000006	88404.38671899999	150.0	3	59560.815428999995	52335.297850999996	26895.544432999995	277033.88867200003	224193.785156	52372.557616000006	245976.539062	110464.521484	34791.825439	121298.070313	145.4375
11	1	CONT_041|gi|109048|pir||S22025	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	5.3	508	55245	keratin type II, KII-9, hair [Ovis aries].	6	1	0.167	4	2	0	1	1.053	1.333	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	6391.887695	5713.558105	4604.313965	6217.892578	7657.082031	5983.530761999999	6095.223145	5935.309082	5912.598633	6467.569336	316.798523
12	1	CONT_044|gi|1083132|pir||A56694	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	9.6	480	53033	keratin, type II, KRT2.13 [Ovis aries].	7	2	0.286	5	2	1	1	3.105	1.667	1	1077.8498539999998	1091.3439939999998	1287.764404	1108.43335	1405.403931	1473.3652339999999	1474.342773	3180.584961	770.390198	701.493591	150.0	1	26779.683594	33977.464844	27025.509766000003	31119.855469	33804.851562	27493.677733999997	31372.310547000005	34259.472656	29433.234375	28880.578125	150.0
