PAW protein_summary_9 results file
written: Sun Apr 21 17:32:22 2019

 	=subtotal(109,B6:B691)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT1	Total_TMT2	Unique_TMT1	Unique_TMT2	Corrected_TMT1	Corrected_TMT2	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	117	33	0.282	59	58	17	16	23.611	25.333	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	37.7	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	235	147	0.626	134	101	91	56	127.389	91.667	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, sp|P07477|TRY1_HUMAN
3.0	1	CONT_015|gi|229552|prf||754920A	contaminant	29.1	581	65797	albumin [Bos primigenius taurus].	197	38	0.193	106	91	22	16	80.459	69.467	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN
4.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	32.8	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	170	10	0.059	91	79	6	4	22.014	17.367	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN
5.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	42.7	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	135	107	0.793	93	42	79	28	89.528	36.167	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN
5.01	1	sp|P02768|ALBU_HUMAN	redundant	42.7	609	69366	Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	135	107	0.793	93	42	79	28	89.528	36.167	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN
6.0	1	CONT_019|CAS1_BOVIN	contaminant	57.0	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	65	65	1.000	28	37	28	37	28.000	37.000	 
7.0	1	CONT_020|CAS2_BOVIN	contaminant	29.3	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	39	39	1.000	14	25	14	25	14.000	25.000	 
8.0	1	CONT_021|CASB_BOVIN	contaminant	32.1	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	85	85	1.000	38	47	38	47	38.000	47.000	 
9.0	1	CONT_025|gi|346581|pir||S29094	contaminant	36.4	503	55342	keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].	54	8	0.148	41	13	8	0	28.339	1.433	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, CONT_173|gi|1903218|gnl|PID|e255345, CONT_176|gi|2119206|pir||S34165, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P13647|K2C5_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P78385|KRT83_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
9.01	1	CONT_110|gi|125117|sp|P25691|K2M3_SHEEP	redundant	36.5	502	55255	KERATIN, TYPE II MICROFIBRILLAR, COMPONENT 5 [Ovis aries].	54	8	0.148	41	13	8	0	28.339	1.433	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, CONT_173|gi|1903218|gnl|PID|e255345, CONT_176|gi|2119206|pir||S34165, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P13647|K2C5_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P78385|KRT83_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
