New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Sun Apr 28 10:10:54 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT1	Total_TMT2	Unique_TMT1	Unique_TMT2	Corrected_TMT1	Corrected_TMT2	PSMs_Used_TMT1	TotInt_126C_TMT1	TotInt_127N_TMT1	TotInt_127C_TMT1	TotInt_128N_TMT1	TotInt_128C_TMT1	TotInt_129N_TMT1	TotInt_129C_TMT1	TotInt_130N_TMT1	TotInt_130C_TMT1	TotInt_131N_TMT1	TotInt_131C_TMT1	PSMs_Used_TMT2	TotInt_126C_TMT2	TotInt_127N_TMT2	TotInt_127C_TMT2	TotInt_128N_TMT2	TotInt_128C_TMT2	TotInt_129N_TMT2	TotInt_129C_TMT2	TotInt_130N_TMT2	TotInt_130C_TMT2	TotInt_131N_TMT2	TotInt_131C_TMT2
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	117	33	0.282	59	58	17	16	23.611	25.333	17	50729.131163999984	47097.927432000004	10141.130005	45004.612303999995	29636.771911000007	39732.453614	66025.078369	51370.193542999994	44627.41341999999	42754.278871	150.0	16	24105.271882000005	43912.399295	37002.033359	40928.29247900002	38583.242187	47167.710081	51779.040652	44773.390687	32118.878388	50855.169922	331.822784
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, sp|P07477|TRY1_HUMAN	contaminant	37.7	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	235	147	0.626	134	101	91	56	127.389	91.667	91	91051508.32525602	72437755.77148895	17868159.824678	113574118.94351505	46262861.519136	90941993.92581101	96376406.767216	100813011.29400499	53725367.627132006	95142377.23861802	34639.742078999996	56	53770330.89251398	42881849.82025299	44225362.625002004	45605943.168027006	45829010.36084099	40647384.51794601	78450377.34197801	41662274.74041999	45685149.74853599	67108937.105654	33427.620086999996
3	1	CONT_015|gi|229552|prf||754920A	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	29.1	581	65797	albumin [Bos primigenius taurus].	197	38	0.193	106	91	22	16	80.459	69.467	22	1596704.9428710002	1212278.5274659998	330118.5006720001	1618015.271484	803712.429018	1213287.908571	1629691.3891609998	2504904.27881	1218340.578858	1278191.431642	36179.446472	16	404514.19897300005	482989.343751	437026.22265400004	328097.558106	295119.503664	262670.29174599994	556617.401367	606714.826173	366651.85205	432052.1357419999	1206.424285
4	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	32.8	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	170	10	0.059	91	79	6	4	22.014	17.367	6	226939.154785	212968.14746100002	101779.267211	240855.612304	160503.113282	195922.479248	237638.530274	308431.722168	213772.80956999998	219594.59668000002	2933.337646	4	8685.252686	19264.475585	17011.94043	15833.274658	13218.558227000001	12011.414307	18662.768798	21946.723632999998	13012.964111000001	17972.379883	150.0
5	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN (+1)	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN&sp|P02768|ALBU_HUMAN	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	42.7	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	135	107	0.793	93	42	79	28	89.528	36.167	79	47572056.70532199	3887090.6252150014	4434728.101044999	4678691.255493	1938115.659881	2313408.306308999	21340990.555422008	3151624.1081849993	3701355.62351	4003190.2783830003	65429.41697700001	27	428255.224974	457741.5079969999	390906.48016300006	723924.4791240001	390084.3534559999	224919.364748	845626.997923	381794.97467	478321.282227	333242.26105000003	3151.8455810000005
6	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	57.0	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	65	65	1.000	28	37	28	37	28.000	37.000	28	2067616.3790310002	1970712.378024	449778.304656	2028900.4581300002	1770113.7779669997	1618415.0476709998	2350584.721315	2824125.4796749996	1992397.8846429999	1646890.326447	109694.462647	37	1456644.525544	4061023.059601	1723988.376679	1914285.478518	1496308.8055439997	1323175.550416	4569830.655823001	2049039.7239970001	1877789.345399	3228944.6933609997	49683.96048
7	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	29.3	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	39	39	1.000	14	25	14	25	14.000	25.000	14	619459.6425780001	541697.1171869999	70587.915345	623798.2294920001	351516.97754	536013.767151	747240.8637699999	800562.4331029999	664298.463379	497685.175781	31602.706145999997	25	464084.6768789999	1066274.153624	518426.14233499987	640384.196899	492204.49930000014	459316.212036	1225677.9670419996	641697.0935379999	534690.830901	813398.3056029999	8649.020813000001
8	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	32.1	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	85	85	1.000	38	47	38	47	38.000	47.000	38	6614195.141233999	3880806.088713	777029.264374	5299167.368956999	3680460.6599890003	3883580.445463001	8390071.583252	8680375.051692002	10852133.325227	4609553.28804	190183.70636	47	506205.21362199984	1429410.6129170002	789725.739716	664984.3050880003	605712.5756809998	576952.159727	1462014.006833	948109.7441690001	570917.45996	4313511.044558	11268.814178
10	1	CONT_041|gi|109048|pir||S22025	 	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, CONT_173|gi|1903218|gnl|PID|e255345, CONT_176|gi|2119206|pir||S34165, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P13647|K2C5_HUMAN, sp|P48668|K2C6C_HUMAN, sp|P78385|KRT83_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN	contaminant	33.7	508	55245	keratin type II, KII-9, hair [Ovis aries].	70	3	0.043	52	18	3	0	24.453	6.321	3	21198.766602	40404.476561999996	2972.6704099999997	96469.839844	8813.973877	28092.706055000002	21778.355713	19170.810547	16874.234863	8518.630127	357.04840099999996	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	1	CONT_060|gi|542923|pir||S37780 (+2)	CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&sp|P35900|K1C20_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_138|gi|71531|pir||KRSHL1, CONT_156|gi|1363944|pir||JC4313, sp|O76009|KT33A_HUMAN, sp|P00747|PLMN_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q14525|KT33B_HUMAN, sp|Q15323|K1H1_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	6.1	424	48571	keratin 20, cytoskeletal [Homo sapiens].	13	1	0.077	6	7	0	1	0.079	1.031	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	15630.324219	10258.060547	18203.798828	12298.044922	12318.251953	12887.387695	14890.016602000002	15283.353516	5075.228515999999	14887.796875	150.0
