PAW protein_summary_9 results file
written: Wed Apr 17 21:55:00 2019

 	=subtotal(109,B6:B2339)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_MS2	Total_MS3	Unique_MS2	Unique_MS3	Corrected_MS2	Corrected_MS3	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	43	25	0.581	27	16	16	9	18.173	9.840	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	45.5	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	154	131	0.851	78	76	65	66	75.767	75.072	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN
3.0	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	contaminant	15.7	229	23993	TRYPSINOGEN [Bos taurus].	9	4	0.444	4	5	2	2	2.060	2.088	CONT_010|gi|136429|sp|P00761|TRYP_PIG, CONT_011|gi|136425|sp|P00760|TRYP_BOVIN
4.0	1	CONT_015|gi|229552|prf||754920A	contaminant	73.8	581	65797	albumin [Bos primigenius taurus].	664	73	0.110	369	295	37	36	117.466	118.460	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
5.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	81.2	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	785	192	0.245	448	337	115	77	366.055	254.360	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
6.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	10.8	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	75	3	0.040	46	29	3	0	3.832	0.000	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN
7.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	7.9	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	46	6	0.130	25	21	5	1	5.647	1.179	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
8.0	1	CONT_019|CAS1_BOVIN	contaminant	24.3	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	10	10	1.000	5	5	5	5	5.000	5.000	 
9.0	1	CONT_020|CAS2_BOVIN	contaminant	23.0	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	8	8	1.000	5	3	5	3	5.000	3.000	 
10.0	1	CONT_021|CASB_BOVIN	contaminant	17.9	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	7	7	1.000	4	3	4	3	4.000	3.000	 
11.0	1	CONT_041|gi|109048|pir||S22025	contaminant	5.3	508	55245	keratin type II, KII-9, hair [Ovis aries].	6	1	0.167	4	2	0	1	0.000	1.500	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
12.0	1	CONT_044|gi|1083132|pir||A56694	contaminant	9.6	480	53033	keratin, type II, KRT2.13 [Ovis aries].	7	2	0.286	5	2	1	1	4.167	1.500	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
13.0	1	CONT_046|gi|88041|pir||A31994	contaminant	46.2	561	57247	keratin 10, type I, epidermal [Homo sapiens].	98	3	0.031	59	39	2	1	7.712	3.246	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475
14.0	1	CONT_049|gi|88052|pir||A32568	contaminant	29.9	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	51	4	0.078	28	23	1	3	6.040	9.731	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666
